Plan;Medicamento;Presentacion;Laboratorio;Familia;Principio_Activo;Receta;Porcentaje_Cobertura;Es_Cronica;Enfermedad;Requiere_Empadronamiento
SC50, SC100, SC150;NIVELAN-N;0.5 mg comp.x 30;LAFEDAR;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM CEVALLOS;0.5 mg comp.x 30;CEVALLOS;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM LABSA;0.5 mg comp.x 30;LABSA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;CALLPAX;0.5 mg comp.x 30;HLB PHARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;EMERAL;0.5 mg comp.x 30;SIEGFRIED S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;0.5 mg comp.x 30;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;BESTROL;0.5 mg comp.x 40;CETUS S.R.L.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PRINOX 0.5 MG;0.5 mg comp.x 50;EUROFARMA ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;EMERAL;0.5 mg comp.x 50;SIEGFRIED S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;0.5 mg comp.x 50;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOL;0.5 mg comp.x 60;CASASCO S.A.I.C.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;KRAMA;0.5 mg comp.x 60;DUNCAN  S.C.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PTA;0.5 mg comp.x 60;SIDUS S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM DENVER FARMA;0.5 mg comp.x 60;DENVER FARMA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NIVELAN-N;0.5 mg comp.x 60;LAFEDAR;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;CALLPAX;0.5 mg comp.x 60;HLB PHARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;BESTROL;0.5 mg comp.x 60;CETUS S.R.L.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;0.5 mg comp.x 60;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;0.5 mg comp.x 100;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX XR;0.5mg comp.lib.prol.x 20;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TENSIUM;0.25 mg comp.ran.x 30;BALIARDA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PRINOX 0.25 MG;0.25 mg comp.x 30;EUROFARMA ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX;0.25 mg comp.x 30;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NIVELAN-N;0.25 mg comp.x 30;LAFEDAR;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PRINOX 0.25 MG;0.25 mg comp.x 50;EUROFARMA ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;CALLPAX;0.25 mg comp.x 60;HLB PHARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX;0.25 mg comp.x 60;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NIVELAN-N;0.25 mg comp.x 60;LAFEDAR;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NOVAZOLAM 0.50 MG;0.50 mg comp.ran.x 30;MONSERRAT Y ECLAIR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NOVAZOLAM 0.50 MG;0.50 mg comp.ran.x 60;MONSERRAT Y ECLAIR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;AMZIAX;0.50 mg comp.x 10;SOUBEIRAN CHOBET;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX;0.50 mg comp.x 30;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM MICROSULES;0.50 mg comp.x 30;MICROSULES ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ROSPAZ;0.50 mg comp.x 30;ROSPAW;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;XANAX;0.50 mg comp.x 30;ASPEN FARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;AMZIAX;0.50 mg comp.x 30;SOUBEIRAN CHOBET;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX;0.50 mg comp.x 60;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM MICROSULES;0.50 mg comp.x 60;MICROSULES ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ROSPAZ;0.50 mg comp.x 60;ROSPAW;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;XANAX;0.50 mg comp.x 60;ASPEN FARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;AMZIAX;0.50 mg comp.x 60;SOUBEIRAN CHOBET;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX XR;1 mg comp.lib.prol.x 20;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TENSIUM;1 mg comp.ran.x 30;BALIARDA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NOVAZOLAM 1 MG;1 mg comp.ran.x 30;MONSERRAT Y ECLAIR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TENSIUM;1 mg comp.ran.x 60;BALIARDA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NOVAZOLAM 1 MG;1 mg comp.ran.x 60;MONSERRAT Y ECLAIR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRIM;1 mg comp.rec.x 30;BIOTECHNO PHARMA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRIM;1 mg comp.rec.x 60;BIOTECHNO PHARMA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;AMZIAX;1 mg comp.x 10;SOUBEIRAN CHOBET;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;BESTROL;1 mg comp.x 20;CETUS S.R.L.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PRINOX 1 MG;1 mg comp.x 30;EUROFARMA ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;1 mg comp.x 30;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOL;1 mg comp.x 30;CASASCO S.A.I.C.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;KRAMA;1 mg comp.x 30;DUNCAN  S.C.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX;1 mg comp.x 30;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PTA;1 mg comp.x 30;SIDUS S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM MICROSULES;1 mg comp.x 30;MICROSULES ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;BECEDE 1;1 mg comp.x 30;VANNIER S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NIVELAN-N;1 mg comp.x 30;LAFEDAR;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM CEVALLOS;1 mg comp.x 30;CEVALLOS;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM LABSA;1 mg comp.x 30;LABSA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ROSPAZ;1 mg comp.x 30;ROSPAW;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;CALLPAX;1 mg comp.x 30;HLB PHARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;EMERAL;1 mg comp.x 30;SIEGFRIED S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;XANAX;1 mg comp.x 30;ASPEN FARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;AMZIAX;1 mg comp.x 30;SOUBEIRAN CHOBET;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;BESTROL;1 mg comp.x 40;CETUS S.R.L.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PRINOX 1 MG;1 mg comp.x 50;EUROFARMA ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;EMERAL;1 mg comp.x 50;SIEGFRIED S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;1 mg comp.x 50;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOL;1 mg comp.x 60;CASASCO S.A.I.C.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;KRAMA;1 mg comp.x 60;DUNCAN  S.C.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX;1 mg comp.x 60;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PTA;1 mg comp.x 60;SIDUS S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM MICROSULES;1 mg comp.x 60;MICROSULES ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM DENVER FARMA;1 mg comp.x 60;DENVER FARMA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NIVELAN-N;1 mg comp.x 60;LAFEDAR;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ROSPAZ;1 mg comp.x 60;ROSPAW;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;CALLPAX;1 mg comp.x 60;HLB PHARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;XANAX;1 mg comp.x 60;ASPEN FARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;1 mg comp.x 60;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;BESTROL;1 mg comp.x 60;CETUS S.R.L.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;AMZIAX;1 mg comp.x 60;SOUBEIRAN CHOBET;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;1 mg comp.x 100;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX XR;2 mg comp.lib.prol.x 20;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NOVAZOLAM 2 MG;2 mg comp.multirran.x 30;MONSERRAT Y ECLAIR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NOVAZOLAM 2 MG;2 mg comp.multirran.x 60;MONSERRAT Y ECLAIR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TENSIUM;2 mg comp.ran.x 30;BALIARDA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRIM;2 mg comp.rec.x 30;BIOTECHNO PHARMA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRIM;2 mg comp.rec.x 60;BIOTECHNO PHARMA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PRINOX 2 MG;2 mg comp.x 30;EUROFARMA ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;2 mg comp.x 30;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOL;2 mg comp.x 30;CASASCO S.A.I.C.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX;2 mg comp.x 30;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;AMZIAX;2 mg comp.x 30;SOUBEIRAN CHOBET;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PTA;2 mg comp.x 30;SIDUS S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM MICROSULES;2 mg comp.x 30;MICROSULES ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;BECEDE 2;2 mg comp.x 30;VANNIER S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOLAM LABSA;2 mg comp.x 30;LABSA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ROSPAZ;2 mg comp.x 30;ROSPAW;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;CALLPAX;2 mg comp.x 30;HLB PHARMA;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;EMERAL;2 mg comp.x 30;SIEGFRIED S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PRINOX 2 MG;2 mg comp.x 50;EUROFARMA ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;EMERAL;2 mg comp.x 50;SIEGFRIED S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;2 mg comp.x 50;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOL;2 mg comp.x 60;CASASCO S.A.I.C.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPLAX;2 mg comp.x 60;GADOR S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
