Cód. Producto AFB;Producto;Presentación;Cód. Tamaño;Tamaño;Cod. Lab. AFB;Laboratorio;Cod. Fam. AFB;Familia AFB;Cód. Ppio. AFB;Principio Activo;Cód. Barras;Troquel;Cód. Tipo Rct. AFB;Tipo Receta
32976;ACTIMAX;70 mg comp.x 8;G;GRANDE;903;SIEGFRIED S.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7792069045025;5124202;R;VENTA BAJO RECETA
29561;ALENATO;70 mg comp.x 8;G;GRANDE;903;SIEGFRIED S.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7798129416385;4974972;R;VENTA BAJO RECETA
32357;LENDRONAL;comp.x 4;C;CHICO;397;LAFEDAR;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7798021296870;5136321;R;VENTA BAJO RECETA
19710;TENSIUM;0.5 mg comp.ran.x 30;C;CHICO;023;BALIARDA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795338001265;4251753;A;VENTA BAJO RECETA ARCHIVADA
19711;TENSIUM;0.5 mg comp.ran.x 60;G;GRANDE;023;BALIARDA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795338001272;4251755;A;VENTA BAJO RECETA ARCHIVADA
54726;ALPRIM;0.5 mg comp.rec.x 30;C;CHICO;756;BIOTECHNO PHARMA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798163340400;6488841;A;VENTA BAJO RECETA ARCHIVADA
54725;ALPRIM;0.5 mg comp.rec.x 60;G;GRANDE;756;BIOTECHNO PHARMA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798163340417;6488842;A;VENTA BAJO RECETA ARCHIVADA
28029;TRANQUINAL;0.5 mg comp.subl.x 30;C;CHICO;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375251673;4817392;A;VENTA BAJO RECETA ARCHIVADA
32232;TENSIUM SL;0.5 mg comp.subl.x 30;C;CHICO;023;BALIARDA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795338014227;5060363;A;VENTA BAJO RECETA ARCHIVADA
12258;BESTROL;0.5 mg comp.x 20;C;CHICO;048;CETUS S.R.L.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795330000068;3587221;A;VENTA BAJO RECETA ARCHIVADA
52892;PRINOX 0.5 MG;0.5 mg comp.x 30;C;CHICO;018;EUROFARMA ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798016922036;6390971;A;VENTA BAJO RECETA ARCHIVADA
23720;ALPRAZOL;0.5 mg comp.x 30;C;CHICO;045;CASASCO S.A.I.C.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791909211248;3337581;A;VENTA BAJO RECETA ARCHIVADA
32467;KRAMA;0.5 mg comp.x 30;C;CHICO;074;DUNCAN  S.C.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795361503637;4976173;A;VENTA BAJO RECETA ARCHIVADA
18724;PTA;0.5 mg comp.x 30;C;CHICO;217;SIDUS S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795356001742;4213711;A;VENTA BAJO RECETA ARCHIVADA
35888;BECEDE 0.5;0.5 mg comp.x 30;C;CHICO;328;VANNIER S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795372459435;447541;A;VENTA BAJO RECETA ARCHIVADA
46927;NIVELAN-N;0.5 mg comp.x 30;C;CHICO;397;LAFEDAR;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798021291486;9946927;A;VENTA BAJO RECETA ARCHIVADA
39537;ALPRAZOLAM CEVALLOS;0.5 mg comp.x 30;C;CHICO;504;CEVALLOS;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798066761241;5470841;A;VENTA BAJO RECETA ARCHIVADA
54423;ALPRAZOLAM LABSA;0.5 mg comp.x 30;C;CHICO;635;LABSA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798141212934;9954423;A;VENTA BAJO RECETA ARCHIVADA
56605;CALLPAX;0.5 mg comp.x 30;C;CHICO;681;HLB PHARMA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798081261900;6586131;A;VENTA BAJO RECETA ARCHIVADA
36792;EMERAL;0.5 mg comp.x 30;C;CHICO;903;SIEGFRIED S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798129410703;4315023;A;VENTA BAJO RECETA ARCHIVADA
31486;TRANQUINAL;0.5 mg comp.x 30;M;MEDIANO;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375003074;2766432;A;VENTA BAJO RECETA ARCHIVADA
19676;BESTROL;0.5 mg comp.x 40;M;MEDIANO;048;CETUS S.R.L.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795330000433;4252081;A;VENTA BAJO RECETA ARCHIVADA
52893;PRINOX 0.5 MG;0.5 mg comp.x 50;G;GRANDE;018;EUROFARMA ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798016922043;6390972;A;VENTA BAJO RECETA ARCHIVADA
32880;EMERAL;0.5 mg comp.x 50;G;GRANDE;903;SIEGFRIED S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798129410697;4315024;A;VENTA BAJO RECETA ARCHIVADA
01033;TRANQUINAL;0.5 mg comp.x 50;T;TERCERO;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375001513;2766433;A;VENTA BAJO RECETA ARCHIVADA
36173;ALPRAZOL;0.5 mg comp.x 60;G;GRANDE;045;CASASCO S.A.I.C.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791909211286;3337582;A;VENTA BAJO RECETA ARCHIVADA
32468;KRAMA;0.5 mg comp.x 60;G;GRANDE;074;DUNCAN  S.C.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795361503620;4976175;A;VENTA BAJO RECETA ARCHIVADA
18725;PTA;0.5 mg comp.x 60;G;GRANDE;217;SIDUS S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795356001759;4213712;A;VENTA BAJO RECETA ARCHIVADA
40220;ALPRAZOLAM DENVER FARMA;0.5 mg comp.x 60;G;GRANDE;312;DENVER FARMA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798050060688;5055952;A;VENTA BAJO RECETA ARCHIVADA
46928;NIVELAN-N;0.5 mg comp.x 60;G;GRANDE;397;LAFEDAR;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798021291493;9946928;A;VENTA BAJO RECETA ARCHIVADA
56606;CALLPAX;0.5 mg comp.x 60;G;GRANDE;681;HLB PHARMA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798081261917;6586132;A;VENTA BAJO RECETA ARCHIVADA
13402;BESTROL;0.5 mg comp.x 60;T;TERCERO;048;CETUS S.R.L.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795330000310;3587223;A;VENTA BAJO RECETA ARCHIVADA
49837;TRANQUINAL;0.5 mg comp.x 60;X;GIGANTE;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375003395;2766435;A;VENTA BAJO RECETA ARCHIVADA
24646;TRANQUINAL;0.5 mg comp.x 100;X;GIGANTE;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375251093;2766434;A;VENTA BAJO RECETA ARCHIVADA
25095;ALPLAX XR;0.5mg comp.lib.prol.x 20;C;CHICO;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183487008;4547602;A;VENTA BAJO RECETA ARCHIVADA
24704;TENSIUM;0.25 mg comp.ran.x 30;C;CHICO;023;BALIARDA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795338013466;4598773;A;VENTA BAJO RECETA ARCHIVADA
52897;PRINOX 0.25 MG;0.25 mg comp.x 30;C;CHICO;018;EUROFARMA ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798016922012;6390841;A;VENTA BAJO RECETA ARCHIVADA
16759;ALPLAX;0.25 mg comp.x 30;C;CHICO;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183002331;3214226;A;VENTA BAJO RECETA ARCHIVADA
46925;NIVELAN-N;0.25 mg comp.x 30;C;CHICO;397;LAFEDAR;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798021291462;9946925;A;VENTA BAJO RECETA ARCHIVADA
52896;PRINOX 0.25 MG;0.25 mg comp.x 50;G;GRANDE;018;EUROFARMA ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798016922029;6390842;A;VENTA BAJO RECETA ARCHIVADA
56604;CALLPAX;0.25 mg comp.x 60;C;CHICO;681;HLB PHARMA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798081265502;658600;A;VENTA BAJO RECETA ARCHIVADA
16760;ALPLAX;0.25 mg comp.x 60;G;GRANDE;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183002348;3214227;A;VENTA BAJO RECETA ARCHIVADA
46926;NIVELAN-N;0.25 mg comp.x 60;G;GRANDE;397;LAFEDAR;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798021291479;9946926;A;VENTA BAJO RECETA ARCHIVADA
41504;NOVAZOLAM 0.50 MG;0.50 mg comp.ran.x 30;C;CHICO;154;MONSERRAT Y ECLAIR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795334999016;5640711;A;VENTA BAJO RECETA ARCHIVADA
41505;NOVAZOLAM 0.50 MG;0.50 mg comp.ran.x 60;G;GRANDE;154;MONSERRAT Y ECLAIR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795334999023;5640712;A;VENTA BAJO RECETA ARCHIVADA
33901;AMZIAX;0.50 mg comp.x 10;C;CHICO;207;SOUBEIRAN CHOBET;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795375600643;5003772;A;VENTA BAJO RECETA ARCHIVADA
09951;ALPLAX;0.50 mg comp.x 30;C;CHICO;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183180923;3214306;A;VENTA BAJO RECETA ARCHIVADA
23286;ALPRAZOLAM MICROSULES;0.50 mg comp.x 30;C;CHICO;235;MICROSULES ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791829004715;4539602;A;VENTA BAJO RECETA ARCHIVADA
45721;ROSPAZ;0.50 mg comp.x 30;C;CHICO;651;ROSPAW;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798118060087;3671032;A;VENTA BAJO RECETA ARCHIVADA
02296;XANAX;0.50 mg comp.x 30;C;CHICO;914;ASPEN FARMA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791824117700;2799101;A;VENTA BAJO RECETA ARCHIVADA
30085;AMZIAX;0.50 mg comp.x 30;M;MEDIANO;207;SOUBEIRAN CHOBET;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795375600599;500377;A;VENTA BAJO RECETA ARCHIVADA
09952;ALPLAX;0.50 mg comp.x 60;G;GRANDE;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183180930;3214307;A;VENTA BAJO RECETA ARCHIVADA
23287;ALPRAZOLAM MICROSULES;0.50 mg comp.x 60;G;GRANDE;235;MICROSULES ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791829004722;4539603;A;VENTA BAJO RECETA ARCHIVADA
45722;ROSPAZ;0.50 mg comp.x 60;G;GRANDE;651;ROSPAW;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798118060094;3671035;A;VENTA BAJO RECETA ARCHIVADA
02297;XANAX;0.50 mg comp.x 60;G;GRANDE;914;ASPEN FARMA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791824117656;2799102;A;VENTA BAJO RECETA ARCHIVADA
30787;AMZIAX;0.50 mg comp.x 60;T;TERCERO;207;SOUBEIRAN CHOBET;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795375600537;5003771;A;VENTA BAJO RECETA ARCHIVADA
25096;ALPLAX XR;1 mg comp.lib.prol.x 20;C;CHICO;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183487015;4547782;A;VENTA BAJO RECETA ARCHIVADA
19713;TENSIUM;1 mg comp.ran.x 30;C;CHICO;023;BALIARDA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795338001289;4251833;A;VENTA BAJO RECETA ARCHIVADA
41506;NOVAZOLAM 1 MG;1 mg comp.ran.x 30;C;CHICO;154;MONSERRAT Y ECLAIR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795334999030;5640841;A;VENTA BAJO RECETA ARCHIVADA
19714;TENSIUM;1 mg comp.ran.x 60;G;GRANDE;023;BALIARDA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795338001296;4251835;A;VENTA BAJO RECETA ARCHIVADA
41507;NOVAZOLAM 1 MG;1 mg comp.ran.x 60;G;GRANDE;154;MONSERRAT Y ECLAIR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795334999047;5640842;A;VENTA BAJO RECETA ARCHIVADA
54724;ALPRIM;1 mg comp.rec.x 30;C;CHICO;756;BIOTECHNO PHARMA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798163340424;5169151;A;VENTA BAJO RECETA ARCHIVADA
54723;ALPRIM;1 mg comp.rec.x 60;G;GRANDE;756;BIOTECHNO PHARMA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798163340431;5169152;A;VENTA BAJO RECETA ARCHIVADA
33902;AMZIAX;1 mg comp.x 10;C;CHICO;207;SOUBEIRAN CHOBET;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795375600650;5003822;A;VENTA BAJO RECETA ARCHIVADA
12259;BESTROL;1 mg comp.x 20;C;CHICO;048;CETUS S.R.L.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795330000075;3587301;A;VENTA BAJO RECETA ARCHIVADA
52890;PRINOX 1 MG;1 mg comp.x 30;C;CHICO;018;EUROFARMA ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798016922050;6391001;A;VENTA BAJO RECETA ARCHIVADA
31489;TRANQUINAL;1 mg comp.x 30;C;CHICO;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375003081;2766512;A;VENTA BAJO RECETA ARCHIVADA
23721;ALPRAZOL;1 mg comp.x 30;C;CHICO;045;CASASCO S.A.I.C.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791909211316;3337661;A;VENTA BAJO RECETA ARCHIVADA
29231;KRAMA;1 mg comp.x 30;C;CHICO;074;DUNCAN  S.C.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795361478737;4976221;A;VENTA BAJO RECETA ARCHIVADA
09953;ALPLAX;1 mg comp.x 30;C;CHICO;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183180947;3213816;A;VENTA BAJO RECETA ARCHIVADA
18726;PTA;1 mg comp.x 30;C;CHICO;217;SIDUS S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795356001766;4213891;A;VENTA BAJO RECETA ARCHIVADA
23288;ALPRAZOLAM MICROSULES;1 mg comp.x 30;C;CHICO;235;MICROSULES ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791829004739;4539782;A;VENTA BAJO RECETA ARCHIVADA
22974;BECEDE 1;1 mg comp.x 30;C;CHICO;328;VANNIER S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795372000491;4475591;A;VENTA BAJO RECETA ARCHIVADA
46929;NIVELAN-N;1 mg comp.x 30;C;CHICO;397;LAFEDAR;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798021291509;9946929;A;VENTA BAJO RECETA ARCHIVADA
39538;ALPRAZOLAM CEVALLOS;1 mg comp.x 30;C;CHICO;504;CEVALLOS;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798066761258;5470971;A;VENTA BAJO RECETA ARCHIVADA
54424;ALPRAZOLAM LABSA;1 mg comp.x 30;C;CHICO;635;LABSA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798141212996;9954424;A;VENTA BAJO RECETA ARCHIVADA
45723;ROSPAZ;1 mg comp.x 30;C;CHICO;651;ROSPAW;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798118060100;3671112;A;VENTA BAJO RECETA ARCHIVADA
56607;CALLPAX;1 mg comp.x 30;C;CHICO;681;HLB PHARMA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798081264949;6586261;A;VENTA BAJO RECETA ARCHIVADA
36793;EMERAL;1 mg comp.x 30;C;CHICO;903;SIEGFRIED S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798129410727;4315103;A;VENTA BAJO RECETA ARCHIVADA
09744;XANAX;1 mg comp.x 30;C;CHICO;914;ASPEN FARMA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791824117663;2799281;A;VENTA BAJO RECETA ARCHIVADA
30086;AMZIAX;1 mg comp.x 30;M;MEDIANO;207;SOUBEIRAN CHOBET;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795375600605;500382;A;VENTA BAJO RECETA ARCHIVADA
19677;BESTROL;1 mg comp.x 40;M;MEDIANO;048;CETUS S.R.L.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795330000440;4252161;A;VENTA BAJO RECETA ARCHIVADA
52891;PRINOX 1 MG;1 mg comp.x 50;G;GRANDE;018;EUROFARMA ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798016922067;6391002;A;VENTA BAJO RECETA ARCHIVADA
32882;EMERAL;1 mg comp.x 50;G;GRANDE;903;SIEGFRIED S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798129410710;4315104;A;VENTA BAJO RECETA ARCHIVADA
01034;TRANQUINAL;1 mg comp.x 50;M;MEDIANO;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375001520;2766513;A;VENTA BAJO RECETA ARCHIVADA
36174;ALPRAZOL;1 mg comp.x 60;C;CHICO;045;CASASCO S.A.I.C.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791909211378;3337662;A;VENTA BAJO RECETA ARCHIVADA
29232;KRAMA;1 mg comp.x 60;G;GRANDE;074;DUNCAN  S.C.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795361478744;4976222;A;VENTA BAJO RECETA ARCHIVADA
09954;ALPLAX;1 mg comp.x 60;G;GRANDE;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183180954;3213817;A;VENTA BAJO RECETA ARCHIVADA
18727;PTA;1 mg comp.x 60;G;GRANDE;217;SIDUS S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795356001773;4213892;A;VENTA BAJO RECETA ARCHIVADA
23290;ALPRAZOLAM MICROSULES;1 mg comp.x 60;G;GRANDE;235;MICROSULES ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791829004746;4539783;A;VENTA BAJO RECETA ARCHIVADA
40221;ALPRAZOLAM DENVER FARMA;1 mg comp.x 60;G;GRANDE;312;DENVER FARMA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798050060633;5056082;A;VENTA BAJO RECETA ARCHIVADA
46930;NIVELAN-N;1 mg comp.x 60;G;GRANDE;397;LAFEDAR;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798021291516;9946930;A;VENTA BAJO RECETA ARCHIVADA
45724;ROSPAZ;1 mg comp.x 60;G;GRANDE;651;ROSPAW;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798118060117;3671115;A;VENTA BAJO RECETA ARCHIVADA
56608;CALLPAX;1 mg comp.x 60;G;GRANDE;681;HLB PHARMA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798081264956;6586262;A;VENTA BAJO RECETA ARCHIVADA
02299;XANAX;1 mg comp.x 60;G;GRANDE;914;ASPEN FARMA;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791824117670;2799282;A;VENTA BAJO RECETA ARCHIVADA
49838;TRANQUINAL;1 mg comp.x 60;T;TERCERO;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375003401;2766515;A;VENTA BAJO RECETA ARCHIVADA
13403;BESTROL;1 mg comp.x 60;T;TERCERO;048;CETUS S.R.L.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795330000327;3587303;A;VENTA BAJO RECETA ARCHIVADA
30788;AMZIAX;1 mg comp.x 60;T;TERCERO;207;SOUBEIRAN CHOBET;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795375600544;5003821;A;VENTA BAJO RECETA ARCHIVADA
24647;TRANQUINAL;1 mg comp.x 100;X;GIGANTE;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375251109;2766514;A;VENTA BAJO RECETA ARCHIVADA
25097;ALPLAX XR;2 mg comp.lib.prol.x 20;C;CHICO;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183487022;4547862;A;VENTA BAJO RECETA ARCHIVADA
41508;NOVAZOLAM 2 MG;2 mg comp.multirran.x 30;C;CHICO;154;MONSERRAT Y ECLAIR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795334999054;5640971;A;VENTA BAJO RECETA ARCHIVADA
41509;NOVAZOLAM 2 MG;2 mg comp.multirran.x 60;G;GRANDE;154;MONSERRAT Y ECLAIR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795334999061;5640972;A;VENTA BAJO RECETA ARCHIVADA
19715;TENSIUM;2 mg comp.ran.x 30;C;CHICO;023;BALIARDA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7795338001302;4251913;A;VENTA BAJO RECETA ARCHIVADA
54722;ALPRIM;2 mg comp.rec.x 30;C;CHICO;756;BIOTECHNO PHARMA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798163340448;5169201;A;VENTA BAJO RECETA ARCHIVADA
54721;ALPRIM;2 mg comp.rec.x 60;G;GRANDE;756;BIOTECHNO PHARMA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798163340455;5169202;A;VENTA BAJO RECETA ARCHIVADA
52895;PRINOX 2 MG;2 mg comp.x 30;C;CHICO;018;EUROFARMA ARGENTINA S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7798016922074;6391131;A;VENTA BAJO RECETA ARCHIVADA
31490;TRANQUINAL;2 mg comp.x 30;C;CHICO;021;BAGO S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7790375253080;2766692;A;VENTA BAJO RECETA ARCHIVADA
28022;ALPRAZOL;2 mg comp.x 30;C;CHICO;045;CASASCO S.A.I.C.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7791909211484;4877111;A;VENTA BAJO RECETA ARCHIVADA
12386;ALPLAX;2 mg comp.x 30;C;CHICO;103;GADOR S.A.;00187;ANSIOLÍTICO;00488;ALPRAZOLAM;7792183180701;3697793;A;VENTA BAJO RECETA ARCHIVADA
